,title,abstract,affiliations,authors,journal,date,keywords,url
0,Diabetes Insipidus,NO_ABSTRACT,"['1 Columbia University Irving Medical Center, New York, NY.']","Alyson Weiner, Patricia Vuguin, ",Pediatrics in review,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32005690
1,Management of central diabetes insipidus,"The treatment of central diabetes insipidus has not changed significantly in recent decades, and dDAVP and replacement of free water deficit remain the cornerstones of treatment. Oral dDAVP has replaced nasal dDAVP as a more reliable mode of treatment for chronic central diabetes insipidus. Hyponatraemia is a common side effect, occurring in one in four patients, and should be avoided by allowing a regular break from dDAVP to allow a resultant aquaresis. Hypernatraemia is less common, and typically occurs during hospitalization, when access to water is restricted, and in cases of adipsic DI. Management of adipsic DI can be challenging, and requires initial inpatient assessment to establish dose of dDAVP, daily fluid prescription, and eunatraemic weight which can guide day-to-day fluid targets in the long-term.","['1 Academic Department of Endocrinology, Beaumont Hospital/RCSI Medical School, Dublin, Ireland. Electronic address: aoife.garrahy@gmail.com.', '2 Academic Department of Endocrinology, Beaumont Hospital/RCSI Medical School, Dublin, Ireland. Electronic address: christhompson@beaumont.ie.']","Aoife Garrahy, Christopher J Thompson, ",Best practice & research. Clinical endocrinology & metabolism,NO_DATE,central diabetes insipidus; dDAVP; vasopressin.,https://pubmed.ncbi.nlm.nih.gov/32169331
2,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33211437
3,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30168851
4,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30859360
5,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31054927
6,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30658901
7,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32138954
8,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33339353
9,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31970930
10,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31445568
11,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31796109
